default,age,gender,income,balance,own,miss,educ
0,25,1,47017,0,0,0,4
0,73,2,71137,264,1,0,4
0,52,2,28101,0,1,0,2
0,48,2,37882,391,0,0,3
0,25,2,45675,5838,0,2,5
0,55,2,44070,177,1,0,3
0,40,1,41295,14,0,1,2
0,41,2,23260,0,1,0,2
0,60,1,268623,0,1,0,4
0,73,1,45632,552,1,0,1
0,42,1,32634,270,0,0,2
0,30,1,62094,810,0,1,2
0,52,2,120738,107,1,0,4
0,59,2,71150,102,1,0,1
0,27,1,20923,114,0,0,2
0,40,1,50719,7,0,2,4
0,61,2,70237,98,1,1,4
0,73,2,104974,0,1,0,3
0,21,2,21984,0,0,0,2
0,41,1,44246,0,0,0,3
0,24,1,38404,488,0,0,2
0,25,2,39468,424,0,0,2
0,75,1,87191,0,1,0,2
0,73,1,119787,582,1,0,2
0,75,2,73382,547,1,0,2
0,71,2,91338,444,1,0,2
0,48,1,105854,1653,0,1,4
0,37,1,27609,0,1,0,1
0,43,1,44444,0,0,0,2
0,39,1,32165,1095,0,0,2
0,42,2,14684,0,1,0,1
0,61,2,91115,23,1,0,4
0,75,1,482699,0,1,0,2
0,71,1,62434,0,1,0,2
0,67,2,62191,1607,1,0,4
0,26,1,18445,0,0,0,2
0,34,1,38863,2180,0,1,2
0,36,1,28678,0,0,0,1
1,53,2,35826,793,1,0,3
0,41,2,68456,195,0,0,3
0,46,1,98438,0,0,0,2
0,60,2,68667,1651,1,0,3
1,23,2,38059,853,0,0,3
0,24,1,20685,0,0,0,2
0,34,2,65410,188,0,0,2
0,60,2,66241,489,1,0,3
0,66,2,39593,284,1,0,2
0,35,2,41211,0,1,0,3
0,49,2,88903,111,0,0,4
0,61,1,136524,1489,1,0,3
0,37,1,30091,150,0,1,2
0,65,2,60692,0,1,1,2
0,70,2,67592,658,1,0,3
0,49,2,80893,260,0,0,5
0,75,1,116345,1009,1,0,1
0,29,2,55700,317,0,0,4
0,60,1,94551,0,1,0,4
0,69,2,84711,0,1,0,2
0,52,1,76181,0,1,0,2
0,71,1,48296,0,1,1,2
0,27,2,33893,293,0,0,2
0,74,2,43566,171,1,0,2
0,39,1,52356,0,1,0,2
0,40,2,45289,0,0,0,2
0,38,1,113725,0,0,0,5
0,31,1,61715,798,0,0,2
0,41,1,39107,342,0,1,2
0,55,2,95650,725,1,1,5
0,40,2,48317,0,1,1,2
0,71,1,78788,1565,1,0,2
0,46,1,137290,716,0,0,4
0,53,1,32628,0,0,0,1
0,40,1,26280,3407,0,1,2
1,34,2,36355,3034,0,1,3
0,54,1,263638,0,0,0,5
1,75,2,48839,831,1,0,1
0,71,2,64195,225,1,0,2
0,37,2,31444,1290,0,0,2
0,39,2,99874,350,1,0,5
0,36,2,115669,0,0,0,3
0,32,1,67424,7272,0,3,4
0,34,1,34687,489,0,0,3
0,34,2,58865,127,0,0,2
1,48,2,35548,5770,1,2,2
1,54,2,34360,2405,1,1,2
0,67,2,34980,198,1,0,1
1,53,2,37486,6997,0,2,2
0,51,2,30790,4476,1,1,2
0,26,2,10045,85,0,0,1
0,25,2,18723,43,0,0,3
0,61,2,85935,0,1,0,5
0,64,2,44085,0,1,0,3
0,35,2,25596,388,1,0,3
0,53,1,74106,0,0,0,2
0,47,1,23763,0,0,0,1
0,31,1,32885,0,0,0,2
0,23,2,22564,0,0,0,2
0,54,2,24198,112,1,0,1
0,42,1,49770,639,0,0,1
0,31,2,61357,576,0,0,5
1,55,1,51624,5558,1,3,3
0,51,2,45329,1246,1,0,3
0,70,2,79201,0,1,1,3
0,61,1,87064,0,1,0,3
0,75,2,105900,517,1,0,4
0,70,1,63528,806,1,0,3
0,28,1,68916,0,0,0,4
0,74,2,51763,308,1,0,3
0,35,2,18505,0,0,0,1
0,73,2,47810,0,1,0,1
0,45,1,57734,1113,0,1,4
0,31,1,110136,128,0,0,5
0,71,1,96926,0,1,0,4
0,44,2,28672,210,0,0,2
0,37,1,30002,437,0,0,2
0,69,1,113845,0,1,0,4
0,28,2,52295,46,0,0,5
0,48,2,50992,220,0,0,3
0,41,2,33608,3204,1,1,2
1,25,2,62884,4450,0,1,4
0,70,1,83325,248,1,0,2
0,68,1,50948,0,1,0,2
0,42,2,81380,0,0,0,2
0,34,2,28046,816,0,0,3
0,38,2,89974,0,0,0,4
0,39,2,26649,2145,0,1,2
1,39,2,40537,1354,0,0,3
0,25,1,95209,516,1,0,2
0,60,1,164752,4428,1,1,3
0,29,2,10000,0,0,1,1
1,47,1,45346,2481,1,1,2
0,54,2,25062,157,1,0,1
1,73,1,51736,0,1,1,1
0,24,1,34300,823,0,0,3
0,62,2,95649,0,1,0,3
0,32,2,19477,777,0,0,2
0,31,2,15287,466,0,0,2
1,25,2,41086,3040,0,1,4
0,65,2,46596,40,1,0,3
0,44,2,29738,1030,1,0,1
0,29,2,14448,201,0,0,2
0,68,2,112582,5278,1,2,3
0,40,1,51482,6400,0,2,2
0,53,2,81647,2255,1,2,5
0,65,1,99442,3859,1,1,4
1,65,1,52445,1909,1,1,1
0,47,2,81199,747,1,0,4
0,39,2,40774,0,0,0,3
0,46,2,63376,1583,1,0,2
0,71,1,40186,100,1,0,1
0,75,1,94526,0,1,0,2
0,22,2,11713,0,0,0,2
1,43,2,34596,4109,0,1,2
0,29,1,32068,1519,0,0,2
0,45,2,74774,1862,0,0,5
0,70,1,57003,349,1,0,3
0,69,2,64178,985,1,0,3
0,31,2,74349,2534,0,1,4
0,67,1,124246,0,1,0,4
0,72,2,45848,273,1,0,2
0,34,2,20957,70,0,1,2
0,25,2,40943,921,0,0,3
0,25,1,49901,0,0,0,5
0,68,2,82514,0,1,0,2
0,60,2,74360,0,1,0,4
0,33,2,18928,0,0,0,1
0,72,1,131970,0,1,0,3
0,40,2,58793,1689,0,1,4
0,42,2,33030,0,1,0,2
0,47,2,25061,0,0,0,1
0,68,1,56888,0,1,0,3
0,30,1,54561,0,0,0,3
0,62,1,85169,186,1,0,2
0,54,2,68703,349,1,0,4
0,28,1,27384,243,0,0,2
0,38,1,55088,766,1,2,2
0,72,2,50949,367,1,0,1
0,35,1,64197,560,0,0,2
0,28,1,39392,0,0,0,3
0,58,1,74783,0,1,0,4
0,43,1,35601,1191,1,0,2
0,75,2,107945,1373,1,0,4
0,62,1,53242,538,1,1,3
0,46,1,84812,105,1,0,4
0,24,1,10000,0,0,0,1
0,62,2,45098,174,1,0,3
0,32,1,22209,313,0,0,2
0,43,1,73477,516,1,2,2
0,48,1,35741,0,1,0,2
0,53,1,127649,82,1,0,2
0,74,1,573130,5241,1,1,2
0,43,2,31915,0,0,0,1
0,75,2,94629,91,1,0,4
0,37,2,66315,0,0,0,4
0,67,1,58929,0,1,0,2
0,27,2,15822,0,0,0,2
0,69,1,57238,905,1,1,3
0,27,1,39135,316,0,0,3
0,44,2,20351,203,0,0,1
0,26,2,14305,861,0,1,2
0,54,1,25979,1274,0,1,1
0,52,2,45004,0,1,0,3
1,49,2,25210,1002,1,0,1
0,21,2,10000,79,0,0,1
0,40,1,37391,0,0,0,2
0,41,1,58949,274,1,0,4
0,40,2,50712,1204,1,0,4
0,31,2,221168,996,0,0,4
0,71,1,78980,0,1,1,2
0,68,1,88994,290,1,0,3
1,67,2,89017,0,1,1,3
0,21,1,40659,171,0,1,4
0,44,1,48316,0,1,0,3
0,51,2,20925,2916,1,1,1
0,50,2,57096,0,1,0,4
0,38,2,23804,0,1,0,2
0,32,1,48225,0,0,0,2
0,75,2,32756,0,1,0,1
